"id","name","artists","artist_ids","energy","loudness","speechiness","valence","tempo","duration_ms"
"6hTFoIJ7pmLOkHKavp3pCz","I Saw You At The Club","['Thaddeus Carlton']","['4XGZj2G3Rwr8nero21TaV8']",0.36,-20.06,0.1,0.95,75,336533
"3BFikZ6e7mPvBqKoEui7fu","No Te Creo - Andres Bucci","['Gustavo Cerati', 'Andres Bucci']","['1QOmebWGB6FdFtW7Bo3F0W', '5yxYHqFDgFiiP30ws0VjZE']",0.69,-8.52,0.12,0.92,75.01,234053
"1Kzp3dqEXaefmOvodTbHeh","Look to the Horizon","['Hubbub']","['2kCOo89PtprM65rxi0MS5k']",0.34,-21.19,0.1,0.91,75.01,206600
"2a7Aof9qqem4G8X7BHmguD","She Wanna Ride","[""Lil' Nathan & The Zydeco Big Timers""]","['3AU7f1EqS89mHHMDHbTQFf']",0.96,0.19,0.05,0.96,75.01,232960
"5pEZAmdQlaIV8m8UZGbNFy","Monsoon Moon","['Sonic Boutique']","['190Ny7WCVkIlOWt60jlTKK']",0.75,-8.52,0.05,0.92,75.01,343907
"1kM11OfAhpgldKtWjxSloP","Wake Me When It's Summer","['Jeremy Abbott']","['15SU8pcoJtCxYoFj8ky49h']",0.4,-13.73,0.07,0.96,75.01,231812
"06zaPwZ2qkbOZxOnnMvX52","More Than A Miracle","['Thaddeus Carlton']","['4XGZj2G3Rwr8nero21TaV8']",0.38,-17.87,0.06,0.98,75.01,340680
"5zr9sSULmNY4aWFxySW7Xt","Melomix Quebraditas # 4: Al Ritmo de la Lluvia / Inténtalo / Muchachita","['Grupo Melomania']","['0kKhokqGx8S5CGnXqo3yNK']",0.68,-5.98,0.21,0.96,75.02,456876
"79GvDX1bybw8yvSw63g1rS","She Was Shakin' That Azz","['DJ Assault']","['3yoyUFgb11DMp1KrsJoQZU']",0.68,-7.49,0.18,0.96,75.02,214336
"4dgryyysF4cKOhyDceVjR3","Mujeres Buenas (Merengue)","['Merengue Latin Band']","['6CfAyHRZimRXEFeC7Tcseo']",0.74,-4.96,0.12,0.94,75.03,259533
"2Uu0v4z22mRuV7lfBjiQ9v","Taiga","['Erik Wøllo']","['5a4gbN7QchpH2EgapVHB5I']",0.35,-17.55,0.06,0.96,75.03,343463
"5fzLnEcizjg75WdoJksvpm","Not Even Close","['Lemon']","['541IR9fPjiZjXZvEZoL7EE']",0.9,-5.48,0.05,0.96,75.03,273587
"7G2aMK5cpqNCvE2zeqPWJO","Big Socks","['Bette Midler']","['13y0kncDD4J9wxCyfKr10W']",0.71,-7.67,0.08,0.96,75.04,231227
"6g7HVifXrxcclcRzLszdxX","Damn This Song","['Natali Rene']","['2DHlzHOCk159sUfhnSDfZ0']",0.4,-8.1,0.41,0.9,75.04,255293
"0xgwyh5q3IbNKZo32TWCpp","愛情蝙蝠俠 - Robin Mix","['郭小霖']","['4lmPk07WP12L7ULcU6Yl3q']",0.88,-4.75,0.06,0.96,75.09,330733
"7gET92MYmoKRJGa7wVYi9C","Another Life","['Donell Jones']","['5KNqYrivNgVCHBssEUSu5B']",0.67,-7.96,0.31,0.92,75.09,210840
"7z0QpqJXeGjNws0ylRmsEg","Pass The Dutchie","['Musical Youth']","['2CuzDPkRD6BJBvdWqCrt2I']",0.62,-7.69,0.07,0.96,75.17,203533
"23S7AMbS2w8tgFhpGZHdhH","Say My Name","['DJ Assault']","['3yoyUFgb11DMp1KrsJoQZU']",0.67,-8.29,0.17,0.93,75.25,270812
"2NcmR2hScHXT0swXKa3G5P","Another Bad Hair Day","['Thaddeus Carlton']","['4XGZj2G3Rwr8nero21TaV8']",0.27,-19.41,0.46,0.96,75.43,361987
"24ATwHkyH7LdCNtFWav7fZ","Everything You're Not","['Darin']","['1rKFeRryEci6cxNkdvHzNr']",0.79,-6.83,0.22,0.95,75.48,200747
"4lMOhM3m16V0XvnwHBAenM","Dance With Me","['soni carrington']","['3ZAGP5Os5HsAm3r9JyFeWk']",0.46,-8.11,0.08,0.92,75.5,209120
"0pFSkkwLdQFejVCf4vu5ai","Everything You're Not","['Darin']","['1rKFeRryEci6cxNkdvHzNr']",0.78,-6.93,0.17,0.96,75.51,201000
"2TZSBaIoWhl5dPZGkZlQGj","Reggae General","['Ini Kamoze']","['1VJspRsoC6c0bvqhnSiFCs']",0.63,-9.64,0.39,0.96,75.54,243695
"1JTku2IHOQabCvbwxWMxtG","Bulaklakan","['Juan Silos Jr.']","['7BiG7brYIL1Uhc0DWdumsR']",0.45,-10.07,0.06,0.96,75.61,207880
"5gzANVQaVUrJBlFZMmkqQs","The Jiggedy Jiggedy Highland / Francie Dearg's Highland / Miss Ramsey's","['Danú']","['0Mm3mSg0GPDZwSI1fdznTV']",0.31,-11.37,0.05,0.97,75.62,261107
"5HeHtgtSBEbnNl9WjW3s78","G's And Jiggies","[""RBL's Himan""]","['2L2KwbhmtGO2fyAGNuSQdf']",0.75,-7.77,0.43,0.92,75.7,321427
"7LX6dJ0UvNy6HD2dnp64Vl","Violin Partita No. 2 in D Minor, BWV 1004: IV. Giga","['Johann Sebastian Bach', 'Jaap Schröder']","['5aIqB5nVVvmFsvSdExz408', '3zg3yScrOKx6SSFcvJPNav']",0.3,-15.22,0.05,0.96,75.71,270133
"4bIehX8yGPooACYZDuGg5x","Rituals (feat. Mr. Shipp)","['Marty Macphly', 'Mr. Shipp']","['4GqLKnQCFxEK1rMcpH9U6M', '4q2gHSGWCGFSxUHrJ7DOh0']",0.66,-13.4,0.28,0.9,75.71,236904
"4GfhaqyXVJVRvwfC4NKlHB","Obnoxious","['Immortal Technique']","['7h8ja4JSORo2sXJPmCXRxa']",0.78,-6.57,0.35,0.96,75.83,289427
"71Wm07xRvOtC9WONkirUEy","Dixie Chicken","['Little Feat']","['0ZIwOAzDuGPspzK7yiTc4S']",0.77,-6.8,0.09,0.93,75.9,236320
"1NPzdzleZtLrZg0oAUpzna","Dixie Chicken","['Little Feat']","['0ZIwOAzDuGPspzK7yiTc4S']",0.77,-6.8,0.09,0.93,75.9,236320
"7lGEYqhQ1vjGVKWcM2p0lE","Dixie Chicken","['Little Feat']","['0ZIwOAzDuGPspzK7yiTc4S']",0.77,-6.8,0.09,0.93,75.9,236320
"09eHLHSH9s2CBtaKVuvM0b","Googly Moogly mixed with Chickenheads","['Project Pat']","['08Ld63UgKrJ0nZnCkzHtzc']",0.56,-10.55,0.18,0.96,75.96,215040
"31xq5INARap5SmrQal0QkU","Don't Stand so Close to Me","['Louchie Lou', 'Michie One']","['4DxlG8gbthzgDeDZiywaoQ', '1otleRGxIU5q64yzCNUHsi']",0.65,-10.78,0.16,0.95,75.96,237667
"0gT5qCLu2Fq8emJX7iDIHo","Jump Radio Mix","['Rankin Cobra']","['08mdY52U0QxWW4tiJIIDRv']",0.96,-6.54,0.09,0.92,75.97,237667
"6uJoZcPSg87wQRQOwE1dAk","It's A Trick","['Pablo Moses']","['6EMWMUO2B9Nt39O7SXdZUw']",0.48,-11.4,0.16,0.92,75.97,284640
"6uDDFI5trGOuyrMPEw8bWO","Stop Wastin My Time","['Chubby Carrier']","['3lbwPBln41G2m3d93rxA3T']",0.87,-4.09,0.05,0.96,75.99,252160
"6nrigRZIvbkWHBCDuajfXy","Drama Queen","['Andrew Gold']","['5fmvGUlMVgmnCn45f1he7d']",0.63,-8.46,0.12,0.92,75.99,313427
"3UXJ0YBtK3CTsxyXQ6IwBC","Ganimedes","['Daniel Diaz']","['3zJXQgBRAEZRZZjndoogd5']",0.42,-14.2,0.07,0.91,76,271373
"2mBIU5qdVaq94HGYx0Py03","Da Boot","['Bishop Jay-Tee']","['4cyxx2KAp9Y6v9aFtOwOjy']",0.68,-8.52,0.31,0.96,76.01,223760
"1llTTwsSiorcDxXvzmuo2c","Lowriders (feat. Mostwanted)","['Pras', 'Most Wanted']","['0kJMPTXq7h3ztpDukSx5iD', '7imszLoQQuk6AtxPrzHpv8']",0.7,-7.81,0.13,0.94,76.01,252267
"4LEUKC8tve9k1yr1siNq3W","The Trooper","['Vitamin String Quartet']","['6MERXsiRbur2oJZFgYRDKz']",0.58,-9.37,0.12,0.91,76.02,269707
"1qz5DOT9sI4xkgPzJKW4qs","A Trick Dub","['Pablo Moses']","['6EMWMUO2B9Nt39O7SXdZUw']",0.66,-9.49,0.1,0.94,76.06,337613
"4X0B0lOnEzgZGSY0DxlViX","One Drop","['Gomba Jahbari']","['3q9LLc7LLFwXnDzKE9U24c']",0.53,-9.08,0.11,0.96,76.08,233067
"4O9OF7NuwQhZv9NZFmlRPl","Yeahyeahyeah - Featuring Nilsa","[""GMF - Grand Mother's Funck""]","['5gf68w2sSWKj94dvSjrtSB']",0.8,-5.1,0.28,0.92,76.12,237653
"7cVC5EhTqW2cWU62LAn3QH","Ova Side (Static)","['Tru Cannonz']","['5XNYLfE4Wij0XA3SSzfMPk']",0.77,-5.25,0.39,0.92,76.2,277640
"3uR9mNUngQoqln3Q3F9cpu","Siren Song","['Slip Capone']","['197MEJ6lXwJXav4BstjTxl']",0.82,-5.96,0.39,0.91,76.2,278058
"1Nh0LhtVy5m1ZFNJlHPH1i","Same Thing It Took","['Inspirational Gospel Singers']","['1oyeuOjM0alEjdcKGsXRvq']",0.64,-9.08,0.28,0.93,76.26,200920
"2N5mwTFRyJsf2SvDJ712q3","Equal Rights","['Peter Tosh']","['0oea1hwGMfUxZbLxJc1XUN']",0.49,-9.04,0.33,0.92,76.32,355683
"5FFgmzM1AUlJOb1Gu9u1nP","Raggy Road","['Capleton']","['21J3YJTyq1biE3SvSNjzuf']",0.67,-7,0.26,0.93,76.37,229667
"1o0lfRVsQfRZ6VeAb82vum","Equal Rights","['Peter Tosh']","['0oea1hwGMfUxZbLxJc1XUN']",0.74,-5.71,0.26,0.96,76.37,357333
"1v7ax5yrWSnCnJGXjpjVXp","Gigue","['Johann Sebastian Bach', 'Tanya Anisimova']","['5aIqB5nVVvmFsvSdExz408', '5XmzcguryovRXLUzEkBACB']",0.12,-25.04,0.06,0.95,76.4,274853
"7xj7mPTU4ei8ZxzReWJGpQ","Puhelias Suu","['Raappana', 'Paarma']","['7m7tqSW9C7alkliDAZYvF0', '4LWusHbrcVOgfIpUNNhyCb']",0.65,-9.41,0.16,0.97,76.42,280027
